date,time,temperature_2m,temp_f
2026-07-16,2026-07-16T15:00,18.8,65.8
2026-07-16,2026-07-16T15:45,18.2,64.8
2026-07-17,2026-07-17T02:00,27.1,80.8
2026-07-17,2026-07-17T06:30,29.6,85.3
2026-07-17,2026-07-17T11:00,26.4,79.5
2026-07-17,2026-07-17T13:45,23.6,74.5
2026-07-17,2026-07-17T15:00,22.7,72.9
2026-07-17,2026-07-17T15:45,22.2,72.0
2026-07-18,2026-07-18T01:45,23.4,74.1
2026-07-18,2026-07-18T06:15,26.0,78.8
2026-07-18,2026-07-18T10:45,20.4,68.7
2026-07-18,2026-07-18T15:45,17.1,62.8
2026-07-19,2026-07-19T02:00,22.5,72.5
2026-07-19,2026-07-19T06:15,21.1,70.0
2026-07-19,2026-07-19T10:45,20.0,68.0
2026-07-19,2026-07-19T15:45,17.0,62.6
2026-07-20,2026-07-20T03:00,20.1,68.2
2026-07-20,2026-07-20T07:00,20.6,69.1
2026-07-20,2026-07-20T11:45,16.1,61.0
2026-07-20,2026-07-20T16:00,13.4,56.1
2026-07-21,2026-07-21T02:15,13.9,57.0
2026-07-21,2026-07-21T06:45,14.7,58.5
2026-07-21,2026-07-21T11:15,14.1,57.4
2026-07-21,2026-07-21T15:45,12.4,54.3
2026-07-22,2026-07-22T02:15,17.1,62.8
2026-07-22,2026-07-22T06:45,17.7,63.9
2026-07-22,2026-07-22T11:00,16.7,62.1
2026-07-22,2026-07-22T16:00,13.7,56.7
2026-07-23,2026-07-23T02:15,17.0,62.6
2026-07-23,2026-07-23T07:00,14.9,58.8
2026-07-23,2026-07-23T11:00,15.0,59.0
2026-07-23,2026-07-23T15:45,11.9,53.4
2026-07-24,2026-07-24T02:15,18.3,64.9
2026-07-24,2026-07-24T06:45,19.0,66.2
2026-07-24,2026-07-24T11:15,16.7,62.1
2026-07-24,2026-07-24T16:00,12.4,54.3
2026-07-25,2026-07-25T02:00,19.2,66.6
2026-07-25,2026-07-25T06:30,22.6,72.7
2026-07-25,2026-07-25T10:45,20.2,68.4
2026-07-25,2026-07-25T15:45,16.5,61.7
2026-07-26,2026-07-26T02:00,24.4,75.9
2026-07-26,2026-07-26T06:15,27.7,81.9
2026-07-26,2026-07-26T11:00,23.6,74.5
2026-07-26,2026-07-26T15:45,18.9,66.0
2026-07-27,2026-07-27T03:30,25.2,77.4
2026-07-27,2026-07-27T07:30,19.4,66.9
2026-07-27,2026-07-27T11:15,15.9,60.6
2026-07-27,2026-07-27T16:00,14.5,58.1
2026-07-28,2026-07-28T02:30,17.1,62.8
2026-07-28,2026-07-28T07:00,19.3,66.7
