date,max_temp,min_temp
2021-08-01,27.7,16.8
2021-08-02,19.2,13.6
2021-08-03,21.4,13.1
2021-08-04,22.1,12.0
2021-08-05,20.0,15.7
2021-08-06,21.3,13.5
2021-08-07,22.2,14.9
2021-08-08,24.8,14.1
2021-08-09,23.6,12.6
2021-08-10,24.6,14.2
2021-08-11,21.3,13.2
2021-08-12,20.6,11.0
2021-08-13,24.2,15.2
2021-08-14,27.0,14.9
2022-08-01,20.5,12.4
2022-08-02,23.0,13.9
2022-08-03,24.7,12.9
2022-08-04,26.0,15.3
2022-08-05,28.6,18.3
2022-08-06,27.6,11.2
2022-08-07,20.5,11.6
2022-08-08,22.0,12.1
2022-08-09,21.6,12.9
2022-08-10,22.0,13.0
2022-08-11,23.1,15.3
2022-08-12,26.6,18.1
2022-08-13,27.8,18.9
2022-08-14,28.3,19.3
2023-08-01,26.0,16.5
2023-08-02,23.6,16.8
2023-08-03,23.9,15.1
2023-08-04,26.0,15.7
2023-08-05,26.0,19.9
2023-08-06,29.7,15.8
2023-08-07,18.6,13.2
2023-08-08,18.4,10.5
2023-08-09,20.2,12.7
2023-08-10,20.5,12.8
2023-08-11,21.6,10.9
2023-08-12,23.6,12.0
2023-08-13,28.2,17.2
2023-08-14,28.3,20.4
2024-08-01,25.4,12.8
2024-08-02,23.5,15.4
2024-08-03,23.9,11.9
2024-08-04,24.9,16.0
2024-08-05,22.5,14.8
2024-08-06,24.4,13.7
2024-08-07,25.5,14.0
2024-08-08,25.4,15.6
2024-08-09,25.5,16.7
2024-08-10,25.1,14.9
2024-08-11,23.1,12.2
2024-08-12,22.1,10.6
2024-08-13,22.0,10.2
2024-08-14,24.4,13.1
2025-08-01,22.0,13.9
2025-08-02,24.7,15.0
2025-08-03,28.1,15.2
2025-08-04,21.5,13.1
2025-08-05,25.0,14.9
2025-08-06,20.8,10.5
2025-08-07,21.7,11.5
2025-08-08,23.6,12.5
2025-08-09,25.3,14.6
2025-08-10,27.0,12.4
2025-08-11,21.6,11.2
2025-08-12,25.1,12.2
2025-08-13,26.9,14.6
2025-08-14,27.5,13.3
